Grid Position,Name,Type,Classification,System Type,System Name,Orbital Position,Star Size Rank,Planet Size Rank,Spectral Type,Evolutionary Stage,Star Special Characteristics,Size-Based Classification,Composition-Based Classification,Habitability,Planet Special Characteristics,Orbit Number,Distance from Star (AU),X,Y,Quadrant_16,Old_Name,Old_Name_Esperanto,Esperanto_Name,Meaning,Planet Classification Codes,Planet Classification Descriptions
181-59,Ventegaro-Nova,Planet,LS-DS-V-NW-MM,Binary Star System,VentoMountainSistemo,1,,2.47,,,,Lilliput Sphere,Aridane,Nihility,Mirage Moons,1.0,0.5,181,59,2,MaroWaterPlanedo,VentoMonto [181-59],Ventegaro-Nova,wind — new/variant,,
295-214,Montegumo-Novego,Planet,PR-OA-V-S-MM,Trinary Star System,MontoSkySistemo,1,,0.13,,,,Proto-Realm,Oceanara,Nihility,Mirage Moons,3.0,2.5,295,214,11,CieloStarPlanedo,Montocielo [295-214],Montegumo-Novego,mountain — new/giant,,
39-137,Astrideto-Novego,Planet,LS-CR-F-NW-MM,Solitary Star System,NoktoFireSistemo,1,,2.47,,,,Lilliput Sphere,Carborane,Pioneera,Mirage Moons,2.0,1.5,39,137,5,NoktoFirePlanedo,NoktoFire [39-137],Astrideto-Novego,celestial body — new/giant,,
269-174,Maretujo-Novego,Planet,NT-FC-V-NW-MM,Trinary Star System,MaroFireSistemo,1,,0.13,,,,Nebulae Titan,Ferrocore,Pioneera,Mirage Moons,1.0,0.5,269,174,7,NoktoEarthPlanedo,MaroFire [269-174],Maretujo-Novego,sea — new/giant,,
282-32,Akvideto-Nova,Planet,PR-FC-V-FL-CI,Solitary Star System,AkvoLightSistemo,1,,0.13,,,,Proto-Realm,Ferrocore,Pioneera,Chronos Isles,1.0,0.5,282,32,3,AkvoLightPlanedo,AkvoLumo [282-32],Akvideto-Nova,water — new/variant,,
254-343,Astregumo-Novego,Planet,LS-H-F-S-MM,Binary Star System,SteloNightSistemo,1,,2.47,,,,Lilliput Sphere,Hydro-Realm,Pioneera,Mirage Moons,3.0,2.5,254,343,15,AkvoWaterPlanedo,Nokto [254-343],Astregumo-Novego,celestial body — new/giant,,
254-343,Astretaro-Novego,Planet,TL-FC-F-NW-MM,Binary Star System,SteloNightSistemo,2,,1.95,,,,Terraclade,Ferrocore,Pioneera,Mirage Moons,4.0,3.5,254,343,15,VentoWindPlanedo,Nokto [254-343],Astretaro-Novego,celestial body — new/giant,,
208-67,Montetaro-Novego,Planet,LS-FC-V-NW-CI,Binary Star System,MontoFireSistemo,1,,2.47,,,,Cryo-Giant,Ferrocore,Pioneera,Chronos Isles,1.0,0.5,208,67,3,MontoSkyPlanedo,MontoFire [208-67],Montetaro-Novego,mountain — new/giant,,
208-67,Montegejo-Novego,Planet,TL-H-ES-FL-CI,Binary Star System,MontoFireSistemo,2,,1.95,,,,Terraclade,Hydro-Realm,Elysian Sphere,Chronos Isles,2.0,1.5,208,67,3,MaroEarthPlanedo,MontoFire [208-67],Montegejo-Novego,mountain — new/giant,,
166-138,Montujo-Noveto,Planet,TL-CR-ES-NW-CI,Binary Star System,MontoEarthSistemo,1,,1.95,,,,Terraclade,Carborane,Elysian Sphere,Chronos Isles,1.0,0.5,166,138,6,CieloSkyPlanedo,MontoTero [166-138],Montujo-Noveto,mountain — new/small,,
326-84,Astregejo-Novego,Planet,PR-CR-ES-NW-MM,Solitary Star System,TeroEarthSistemo,1,,0.13,,,,Proto-Realm,Carborane,Elysian Sphere,Mirage Moons,1.0,0.5,326,84,4,NoktoWindPlanedo,Tero [326-84],Astregejo-Novego,celestial body — new/giant,,
326-84,Astrujo-Noveto,Planet,TL-OA-ES-FL-CI,Solitary Star System,TeroEarthSistemo,2,,1.95,,,,Terraclade,Oceanara,Elysian Sphere,Chronos Isles,2.0,1.5,326,84,4,VentoLightPlanedo,Tero [326-84],Astrujo-Noveto,celestial body — new/small,,
140-284,Lumetaro-Nova,Planet,LS-DS-F-NW-CI,Solitary Star System,LumoStarSistemo,1,,2.47,,,,Cryo-Giant,Aridane,Pioneera,Chronos Isles,1.0,0.5,140,284,10,,LumoLightPlanedo,Lumetaro-Nova,light — new/variant,,
140-284,Stelegujo,Planet,NT-CR-V-FL-MM,Solitary Star System,LumoStarSistemo,2,,0.13,,,,Nebulae Titan,Carborane,Pioneera,Mirage Moons,2.0,1.5,140,284,10,,SteloSeaPlanedo,Stelegujo,star — giant world,,
140-284,Maregaro-Novego,Planet,I-H-ES-S-MM,Solitary Star System,LumoStarSistemo,3,,0.13,,,,Cryo-Giant,Hydro-Realm,Elysian Sphere,Mirage Moons,3.0,2.5,140,284,10,,MaroNightPlanedo,Maregaro-Novego,sea — new/giant,,
5-210,Lumegejo-Nova,Planet,PR-OA-ES-S-CI,Solitary Star System,NoktoLightSistemo,1,,0.13,,,,Proto-Realm,Oceanara,Elysian Sphere,Chronos Isles,1.0,0.5,5,210,9,FajroSeaPlanedo,NoktoLumo [5-210],Lumegejo-Nova,light — new/variant,,
38-46,Lumujo-Novego,Planet,I-FC-V-FL-CI,Binary Star System,LumoMountainSistemo,1,,0.13,,,,Cryo-Giant,Ferrocore,Pioneera,Chronos Isles,1.0,0.5,38,46,1,NoktoSeaPlanedo,LumoMonto [38-46],Lumujo-Novego,light — new/giant,,
327-311,Lumaro-Novego,Planet,PR-OA-ES-S-CI,Trinary Star System,TeroLightSistemo,1,,0.13,,,,Proto-Realm,Oceanara,Elysian Sphere,Chronos Isles,1.0,0.5,327,311,12,MaroSeaPlanedo,Terolumo [327-311],Lumaro-Novego,light — new/giant,,
327-311,Lumido-Novego,Planet,NT-H-ES-NW-CI,Trinary Star System,TeroLightSistemo,2,,0.13,,,,Nebulae Titan,Hydro-Realm,Elysian Sphere,Chronos Isles,2.0,1.5,327,311,12,LumoEarthPlanedo,Terolumo [327-311],Lumido-Novego,light — new/giant,,
327-311,Lumego-Novego,Planet,NT-CR-F-S-CI,Trinary Star System,TeroLightSistemo,3,,0.13,,,,Nebulae Titan,Carborane,Pioneera,Chronos Isles,3.0,2.5,327,311,12,MaroFirePlanedo,Terolumo [327-311],Lumego-Novego,light — new/giant,,
387-162,Akvegumo-Nova,Planet,I-FC-ES-NW-CI,Binary Star System,TeroWaterSistemo,1,,0.13,,,,Cryo-Giant,Ferrocore,Elysian Sphere,Chronos Isles,2.0,1.5,387,162,8,LumoFirePlanedo,TeroAkvo [387-162],Akvegumo-Nova,water — new/variant,,
387-162,Akvetaro-Nova,Planet,LS-OA-ES-FL-CI,Binary Star System,TeroWaterSistemo,2,,2.47,,,,Cryo-Giant,Oceanara,Elysian Sphere,Chronos Isles,3.0,2.5,387,162,8,NoktoWaterPlanedo,TeroAkvo [387-162],Akvetaro-Nova,water — new/variant,,
387-162,Akvegejo-Nova,Planet,LS-H-V-FL-MM,Binary Star System,TeroWaterSistemo,3,,2.47,,,,Lilliput Sphere,Hydro-Realm,Pioneera,Mirage Moons,4.0,3.5,387,162,8,NoktoNightPlanedo,TeroAkvo [387-162],Akvegejo-Nova,water — new/variant,,
181-59,Ventejaro-Nova,Planet,LS-FC-F-NW-MM,Binary Star System,VentoMountainSistemo,1,,2.47,,,,Lilliput Sphere,Ferrocore,Pioneera,Mirage Moons,2.0,1.5,181,59,2,FajroNightPlanedo,VentoMonto [181-59],Ventejaro-Nova,wind — new/variant,,
181-59,Ventideto-Nova,Planet,NT-OA-V-S-MM,Binary Star System,VentoMountainSistemo,2,,0.13,,,,Nebulae Titan,Oceanara,Nihility,Mirage Moons,3.0,2.5,181,59,2,CieloSeaPlanedo,VentoMonto [181-59],Ventideto-Nova,wind — new/variant,,
148-28,Montaro-Noveto,Planet,PR-OA-ES-NW-MM,Binary Star System,SteloLightSistemo,1,,0.13,,,,Proto-Realm,Oceanara,Elysian Sphere,Mirage Moons,1.0,0.5,148,28,2,,MontoSkyPlanedo,Montaro-Noveto,mountain — new/small,,
148-28,Planedido,Planet,PR-OA-ES-FL-MM,Binary Star System,SteloLightSistemo,2,,0.13,,,,Proto-Realm,Oceanara,Elysian Sphere,Mirage Moons,2.0,1.5,148,28,2,,CieloWaterPlanedo,Planedido,planet — offspring / moon,,
111-225,Astraro-Noveto,Planet,LS-OA-ES-FL-CI,Solitary Star System,CieloEarthSistemo,1,,2.47,,,,Cryo-Giant,Oceanara,Elysian Sphere,Chronos Isles,1.0,0.5,111,225,10,SteloSkyPlanedo,Cielotero [111-225],Astraro-Noveto,celestial body — new/small,,
230-386,Marejaro-Novego,Planet,TL-FC-ES-S-MM,Binary Star System,MaroStarSistemo,1,,1.95,,,,Terraclade,Ferrocore,Elysian Sphere,Mirage Moons,1.0,0.5,230,386,15,MaroFirePlanedo,Maro [230-386],Marejaro-Novego,sea — new/giant,,
276-311,Fajrumo-Nova,Planet,I-FC-F-S-CI,Trinary Star System,FajroSkySistemo,1,,0.13,,,,Cryo-Giant,Ferrocore,Pioneera,Chronos Isles,1.0,0.5,276,311,11,AkvoFirePlanedo,FajroCielo [276-311],Fajrumo-Nova,fire — new/variant,,
276-311,Fajregujo-Nova,Planet,PR-DS-V-FL-MM,Trinary Star System,FajroSkySistemo,2,,0.13,,,,Proto-Realm,Aridane,Pioneera,Mirage Moons,2.0,1.5,276,311,11,VentoEarthPlanedo,FajroCielo [276-311],Fajregujo-Nova,fire — new/variant,,
175-409,Fajretujo-Nova,Planet,LS-H-F-FL-CI,Trinary Star System,FajroEarthSistemo,1,,2.47,,,,Cryo-Giant,Hydro-Realm,Pioneera,Chronos Isles,1.0,0.5,175,409,14,FajroWindPlanedo,FajroTero [175-409],Fajretujo-Nova,fire — new/variant,,
235-65,Marideto-Novego,Planet,NT-FC-V-FL-MM,Binary Star System,TeroSeaSistemo,1,,0.13,,,,Nebulae Titan,Ferrocore,Pioneera,Mirage Moons,2.0,1.5,235,65,3,CieloMountainPlanedo,TeroMaro [235-65],Marideto-Novego,sea — new/giant,,
318-178,Lumeto-Novego,Planet,PR-CR-ES-NW-MM,Solitary Star System,LumoEarthSistemo,1,,0.13,,,,Proto-Realm,Carborane,Elysian Sphere,Mirage Moons,1.0,0.5,318,178,8,FajroMountainPlanedo,LumoTero [318-178],Lumeto-Novego,light — new/giant,,
159-259,Astrido-Noveto,Planet,PR-DS-V-S-MM,Trinary Star System,NoktoStarSistemo,1,,0.13,,,,Proto-Realm,Aridane,Nihility,Mirage Moons,1.0,0.5,159,259,10,VentoStarPlanedo,Nokto [159-259],Astrido-Noveto,celestial body — new/small,,
159-259,Astrego-Noveto,Planet,TL-CR-ES-NW-CI,Trinary Star System,NoktoStarSistemo,2,,1.95,,,,Terraclade,Carborane,Elysian Sphere,Chronos Isles,2.0,1.5,159,259,10,AkvoSeaPlanedo,Nokto [159-259],Astrego-Noveto,celestial body — new/small,,
156-20,Montido-Noveto,Planet,NT-DS-ES-FL-MM,Solitary Star System,MontoSeaSistemo,1,,0.13,,,,Nebulae Titan,Aridane,Elysian Sphere,Mirage Moons,1.0,0.5,156,20,2,VentoEarthPlanedo,Montomaro [156-20],Montido-Noveto,mountain — new/small,,
156-20,Montego-Noveto,Planet,NT-DS-F-FL-MM,Solitary Star System,MontoSeaSistemo,2,,0.13,,,,Nebulae Titan,Aridane,Pioneera,Mirage Moons,2.0,1.5,156,20,2,FajroSkyPlanedo,Montomaro [156-20],Montego-Noveto,mountain — new/small,,
156-20,Monteto-Noveto,Planet,I-CR-F-S-CI,Solitary Star System,MontoSeaSistemo,3,,0.13,,,,Cryo-Giant,Carborane,Pioneera,Chronos Isles,3.0,2.5,156,20,2,MontoStarPlanedo,Montomaro [156-20],Monteto-Noveto,mountain — new/small,,
244-172,Astreto-Noveto,Planet,NT-OA-F-FL-CI,Binary Star System,CieloSkySistemo,1,,0.13,,,,Nebulae Titan,Oceanara,Pioneera,Chronos Isles,1.0,0.5,244,172,7,MontoLightPlanedo,Cielo [244-172],Astreto-Noveto,celestial body — new/small,,
244-172,Astrejo-Noveto,Planet,LS-H-F-FL-MM,Binary Star System,CieloSkySistemo,2,,2.47,,,,Lilliput Sphere,Hydro-Realm,Pioneera,Mirage Moons,2.0,1.5,244,172,7,LumoFirePlanedo,Cielo [244-172],Astrejo-Noveto,celestial body — new/small,,
244-172,Astrumo-Noveto,Planet,I-DS-ES-FL-CI,Binary Star System,CieloSkySistemo,3,,0.13,,,,Cryo-Giant,Aridane,Elysian Sphere,Chronos Isles,3.0,2.5,244,172,7,VentoEarthPlanedo,Cielo [244-172],Astrumo-Noveto,celestial body — new/small,,
234-39,Astregujo-Noveto,Planet,I-OA-F-FL-CI,Solitary Star System,NoktoNightSistemo,1,,0.13,,,,Cryo-Giant,Oceanara,Pioneera,Chronos Isles,1.0,0.5,234,39,3,LumoFirePlanedo,Nokto [234-39],Astregujo-Noveto,celestial body — new/small,,
234-39,Astretujo-Noveto,Planet,LS-H-V-FL-MM,Solitary Star System,NoktoNightSistemo,2,,2.47,,,,Lilliput Sphere,Hydro-Realm,Pioneera,Mirage Moons,2.0,1.5,234,39,3,LumoFirePlanedo,Nokto [234-39],Astretujo-Noveto,celestial body — new/small,,
32-408,Fajregaro-Nova,Planet,TL-DS-ES-S-CI,Binary Star System,FajroWaterSistemo,1,,1.95,,,,Terraclade,Aridane,Elysian Sphere,Chronos Isles,2.0,1.5,32,408,13,NoktoMountainPlanedo,FajroAkvo [32-408],Fajregaro-Nova,fire — new/variant,,
230-386,Maregumo-Novego,Planet,PR-OA-ES-FL-CI,Binary Star System,MaroStarSistemo,1,,0.13,,,,Proto-Realm,Oceanara,Elysian Sphere,Chronos Isles,2.0,1.5,230,386,15,MontoSkyPlanedo,Maro [230-386],Maregumo-Novego,sea — new/giant,,
230-386,Maretaro-Novego,Planet,NT-DS-ES-FL-MM,Binary Star System,MaroStarSistemo,2,,0.13,,,,Nebulae Titan,Aridane,Elysian Sphere,Mirage Moons,3.0,2.5,230,386,15,MontoWindPlanedo,Maro [230-386],Maretaro-Novego,sea — new/giant,,
140-284,Steletujo,Planet,LS-FC-V-FL-CI,Binary Star System,LumoStarSistemo,1,,2.47,,,,Cryo-Giant,Ferrocore,Pioneera,Chronos Isles,4.0,3.5,140,284,10,,SteloFirePlanedo [140-284],Steletujo,star — small world,,
140-284,Planedego,Planet,PR-CR-V-S-CI,Binary Star System,LumoStarSistemo,2,,0.13,,,,Proto-Realm,Carborane,Nihility,Chronos Isles,5.0,4.5,140,284,10,,NoktoEarthPlanedo [140-284],Planedego,planet — giant / great,,
140-284,Montejo-Noveto,Planet,NT-H-V-S-CI,Binary Star System,LumoStarSistemo,3,,0.13,,,,Nebulae Titan,Hydro-Realm,Nihility,Chronos Isles,6.0,5.5,140,284,10,,MontoEarthPlanedo,Montejo-Noveto,mountain — new/small,,
140-284,Planedeto,Planet,NT-CR-ES-S-CI,Binary Star System,LumoStarSistemo,4,,0.13,,,,Nebulae Titan,Carborane,Elysian Sphere,Chronos Isles,7.0,6.5,140,284,10,,CieloLightPlanedo,Planedeto,planet — small / minor,,
140-284,Akvujo-Novego,Planet,LS-H-ES-NW-MM,Binary Star System,LumoStarSistemo,5,,2.47,,,,Lilliput Sphere,Hydro-Realm,Elysian Sphere,Mirage Moons,8.0,7.5,140,284,10,,AkvoSkyPlanedo,Akvujo-Novego,water — new/giant,,
140-284,Montumo-Noveto,Planet,LS-CR-ES-S-MM,Binary Star System,LumoStarSistemo,6,,2.47,,,,Lilliput Sphere,Carborane,Elysian Sphere,Mirage Moons,9.0,8.5,140,284,10,,MontoEarthPlanedo [140-284],Montumo-Noveto,mountain — new/small,,
140-284,Ventegumo-Nova,Planet,I-FC-ES-FL-MM,Binary Star System,LumoStarSistemo,7,,0.13,,,,Cryo-Giant,Ferrocore,Elysian Sphere,Mirage Moons,10.0,9.5,140,284,10,,VentoWaterPlanedo,Ventegumo-Nova,wind — new/variant,,
140-284,Planedejo,Planet,I-H-F-NW-CI,Binary Star System,LumoStarSistemo,8,,0.13,,,,Cryo-Giant,Hydro-Realm,Pioneera,Chronos Isles,11.0,10.5,140,284,10,,TeroWaterPlanedo,Planedejo,planet — domain / sanctuary,,
274-302,Maregejo-Novego,Planet,NT-DS-V-FL-MM,Solitary Star System,MaroLightSistemo,1,,0.13,,,,Nebulae Titan,Aridane,Pioneera,Mirage Moons,1.0,0.5,274,302,11,AkvoWindPlanedo,MaroLumo [274-302],Maregejo-Novego,sea — new/giant,,
274-302,Marujo-Noveto,Planet,PR-DS-F-FL-MM,Solitary Star System,MaroLightSistemo,2,,0.13,,,,Proto-Realm,Aridane,Pioneera,Mirage Moons,2.0,1.5,274,302,11,NoktoWaterPlanedo,MaroLumo [274-302],Marujo-Noveto,sea — new/small,,
19-168,Mararo-Noveto,Planet,LS-FC-ES-FL-CI,Binary Star System,MaroWindSistemo,1,,2.47,,,,Cryo-Giant,Ferrocore,Elysian Sphere,Chronos Isles,1.0,0.5,19,168,5,AkvoWindPlanedo,MaroVento [19-168],Mararo-Noveto,sea — new/small,,
19-168,Marido-Noveto,Planet,PR-FC-F-S-MM,Binary Star System,MaroWindSistemo,2,,0.13,,,,Proto-Realm,Ferrocore,Pioneera,Mirage Moons,2.0,1.5,19,168,5,LumoLightPlanedo,MaroVento [19-168],Marido-Noveto,sea — new/small,,
19-168,Marego-Noveto,Planet,PR-FC-V-S-CI,Binary Star System,MaroWindSistemo,3,,0.13,,,,Proto-Realm,Ferrocore,Pioneera,Chronos Isles,3.0,2.5,19,168,5,MaroFirePlanedo,MaroVento [19-168],Marego-Noveto,sea — new/small,,
19-168,Mareto-Noveto,Planet,TL-FC-F-FL-MM,Binary Star System,MaroWindSistemo,4,,1.95,,,,Terraclade,Ferrocore,Pioneera,Mirage Moons,4.0,3.5,19,168,5,FajroSkyPlanedo,MaroVento [19-168],Mareto-Noveto,sea — new/small,,
19-168,Marejo-Noveto,Planet,LS-OA-F-FL-CI,Binary Star System,MaroWindSistemo,5,,2.47,,,,Cryo-Giant,Oceanara,Pioneera,Chronos Isles,5.0,4.5,19,168,5,LumoSeaPlanedo,MaroVento [19-168],Marejo-Noveto,sea — new/small,,
19-168,Marumo-Noveto,Planet,TL-OA-F-S-CI,Binary Star System,MaroWindSistemo,6,,1.95,,,,Terraclade,Oceanara,Pioneera,Chronos Isles,6.0,5.5,19,168,5,MontoLightPlanedo,MaroVento [19-168],Marumo-Noveto,sea — new/small,,
413-332,Montegujo-Noveto,Planet,NT-CR-F-FL-MM,Binary Star System,TeroMountainSistemo,1,,0.13,,,,Nebulae Titan,Carborane,Pioneera,Mirage Moons,1.0,0.5,413,332,16,VentoEarthPlanedo,TeroMonto [413-332],Montegujo-Noveto,mountain — new/small,,
400-5,Astregaro-Noveto,Planet,TL-FC-ES-FL-MM,Solitary Star System,TeroFireSistemo,1,,1.95,,,,Terraclade,Ferrocore,Elysian Sphere,Mirage Moons,1.0,0.5,400,5,4,LumoWaterPlanedo,TeroFire [400-5],Astregaro-Noveto,celestial body — new/small,,
400-5,Astrejaro-Noveto,Planet,TL-DS-F-S-CI,Solitary Star System,TeroFireSistemo,2,,1.95,,,,Terraclade,Aridane,Pioneera,Chronos Isles,2.0,1.5,400,5,4,VentoSeaPlanedo,TeroFire [400-5],Astrejaro-Noveto,celestial body — new/small,,
148-28,Planedumo,Planet,NT-FC-F-S-MM,Solitary Star System,SteloLightSistemo,1,,0.13,,,,Nebulae Titan,Ferrocore,Pioneera,Mirage Moons,3.0,2.5,148,28,2,,CieloSkyPlanedo,Planedumo,planet — abstract / energy,,
148-28,Stelegaro,Planet,LS-OA-F-FL-CI,Solitary Star System,SteloLightSistemo,2,,2.47,,,,Cryo-Giant,Oceanara,Pioneera,Chronos Isles,4.0,3.5,148,28,2,,SteloStarPlanedo,Stelegaro,star — great cluster,,
148-28,Montetujo-Noveto,Planet,PR-H-F-FL-MM,Solitary Star System,SteloLightSistemo,3,,0.13,,,,Proto-Realm,Hydro-Realm,Pioneera,Mirage Moons,5.0,4.5,148,28,2,,MontoEarthPlanedo [148-28],Montetujo-Noveto,mountain — new/small,,
5-127,Fajrejaro-Nova,Planet,LS-CR-ES-FL-MM,Trinary Star System,FajroWindSistemo,1,,2.47,,,,Lilliput Sphere,Carborane,Elysian Sphere,Mirage Moons,1.0,0.5,5,127,5,MontoWaterPlanedo,FajroVento [5-127],Fajrejaro-Nova,fire — new/variant,,
23-7,Ventetaro-Nova,Planet,TL-CR-F-FL-MM,Solitary Star System,SteloWindSistemo,1,,1.95,,,,Terraclade,Carborane,Pioneera,Mirage Moons,1.0,0.5,23,7,1,CieloSkyPlanedo,Vento [23-7],Ventetaro-Nova,wind — new/variant,,
159-259,Astrideto-Noveto,Planet,I-DS-F-FL-MM,Trinary Star System,NoktoStarSistemo,1,,0.13,,,,Cryo-Giant,Aridane,Pioneera,Mirage Moons,3.0,2.5,159,259,10,AkvoNightPlanedo,Nokto [159-259],Astrideto-Noveto,celestial body — new/small,,
159-259,Astregumo-Noveto,Planet,I-H-V-S-CI,Trinary Star System,NoktoStarSistemo,2,,0.13,,,,Cryo-Giant,Hydro-Realm,Nihility,Chronos Isles,4.0,3.5,159,259,10,SteloWindPlanedo,Nokto [159-259],Astregumo-Noveto,celestial body — new/small,,
318-220,Montegaro-Noveto,Planet,PR-OA-ES-S-MM,Solitary Star System,MontoNightSistemo,1,,0.13,,,,Proto-Realm,Oceanara,Elysian Sphere,Mirage Moons,1.0,0.5,318,220,12,FajroSeaPlanedo,MontoNokto [318-220],Montegaro-Noveto,mountain — new/small,,
233-206,Maregujo-Noveto,Planet,PR-DS-ES-FL-MM,Binary Star System,MaroWaterSistemo,1,,0.13,,,,Proto-Realm,Aridane,Elysian Sphere,Mirage Moons,1.0,0.5,233,206,7,AkvoSkyPlanedo,MaroAkvo [233-206],Maregujo-Noveto,sea — new/small,,
355-100,Montejaro-Noveto,Planet,I-DS-V-NW-CI,Solitary Star System,MontoWaterSistemo,1,,0.13,,,,Cryo-Giant,Aridane,Nihility,Chronos Isles,1.0,0.5,355,100,4,MaroEarthPlanedo,MontoAkvo [355-100],Montejaro-Noveto,mountain — new/small,,
355-100,Montideto-Noveto,Planet,I-CR-ES-S-MM,Solitary Star System,MontoWaterSistemo,2,,0.13,,,,Cryo-Giant,Carborane,Elysian Sphere,Mirage Moons,2.0,1.5,355,100,4,CieloStarPlanedo,MontoAkvo [355-100],Montideto-Noveto,mountain — new/small,,
42-153,Akvaro-Novego,Planet,PR-CR-ES-FL-MM,Solitary Star System,AkvoStarSistemo,1,,0.13,,,,Proto-Realm,Carborane,Elysian Sphere,Mirage Moons,1.0,0.5,42,153,5,AkvoSkyPlanedo,Akvo [42-153],Akvaro-Novego,water — new/giant,,
42-153,Akvido-Novego,Planet,LS-FC-F-S-MM,Solitary Star System,AkvoStarSistemo,2,,2.47,,,,Lilliput Sphere,Ferrocore,Pioneera,Mirage Moons,2.0,1.5,42,153,5,MaroSkyPlanedo,Akvo [42-153],Akvido-Novego,water — new/giant,,
297-259,Maretujo-Noveto,Planet,PR-FC-V-FL-MM,Binary Star System,MaroMountainSistemo,1,,0.13,,,,Proto-Realm,Ferrocore,Pioneera,Mirage Moons,1.0,0.5,297,259,11,LumoWindPlanedo,MaroMonto [297-259],Maretujo-Noveto,sea — new/small,,
297-259,Maregaro-Noveto,Planet,TL-FC-V-FL-CI,Binary Star System,MaroMountainSistemo,2,,1.95,,,,Terraclade,Ferrocore,Pioneera,Chronos Isles,2.0,1.5,297,259,11,SteloWaterPlanedo,MaroMonto [297-259],Maregaro-Noveto,sea — new/small,,
297-259,Marejaro-Noveto,Planet,NT-OA-ES-FL-MM,Binary Star System,MaroMountainSistemo,3,,0.13,,,,Nebulae Titan,Oceanara,Elysian Sphere,Mirage Moons,3.0,2.5,297,259,11,VentoStarPlanedo,MaroMonto [297-259],Marejaro-Noveto,sea — new/small,,
254-343,Astretaro-Noveto,Planet,LS-OA-F-NW-MM,Solitary Star System,SteloNightSistemo,1,,2.47,,,,Lilliput Sphere,Oceanara,Pioneera,Mirage Moons,5.0,4.5,254,343,15,MaroEarthPlanedo,Nokto [254-343],Astretaro-Noveto,celestial body — new/small,,
82-163,Lumovento,Planet,Mg-NT-S-FL-CI,Trinary Star System,VentoUniverso,1,,0.13,,,,Nebulae Titan,,Pioneera,Chronos Isles,1.0,0.5,82,163,5,LumoVentoKosmoPlanedo,Vento [82-163],Lumovento,wind — new/variant,,
82-163,Ventujo-Novego,Planet,MS-V-DS-CI,Trinary Star System,VentoUniverso,2,,0.13,,,,Cryo-Giant,Aridane,Nihility,Chronos Isles,2.0,1.5,82,163,5,AkvoSkySteloPlanedo,Vento [82-163],Ventujo-Novego,wind — new/giant,,
82-163,Ventaro-Novego,Planet,NW-FC-FL-CR,Trinary Star System,VentoUniverso,3,,0.13,,,,,Ferrocore,Pioneera,,3.0,2.5,82,163,5,TeroNoktoKosmoPlanedo,Vento [82-163],Ventaro-Novego,wind — new/giant,,
82-163,Ventido-Novego,Planet,W-ES-H-MS,Trinary Star System,VentoUniverso,4,,0.13,,,,,Hydro-Realm,Elysian Sphere,,4.0,3.5,82,163,5,LumoSkySistemoPlanedo,Vento [82-163],Ventido-Novego,wind — new/giant,,
82-163,Ventego-Novego,Planet,NS-I-OA-FC,Trinary Star System,VentoUniverso,5,,0.13,,,,Cryo-Giant,Ferrocore,Pioneera,,5.0,4.5,82,163,5,NoktoNightUniversoPlanedo,Vento [82-163],Ventego-Novego,wind — new/giant,,
320-88,Akvego-Novego,Planet,FC-H-CR-TL,Trinary Star System,AkvoStelo,1,,1.95,,,,Terraclade,Ferrocore,Pioneera,,1.0,0.5,320,88,4,LumoSunGalaksioPlanedo,Akvo [320-88],Akvego-Novego,water — new/giant,,
320-88,Akveto-Novego,Planet,P-OA-NW-Mg,Trinary Star System,AkvoStelo,2,,0.13,,,,,Oceanara,,,2.0,1.5,320,88,4,CieloNoktoSistemoPlanedo,Akvo [320-88],Akveto-Novego,water — new/giant,,
378-279,Lumejo-Novego,Planet,PR-CI-OA-RG-T,Solitary Star System,SteloOrbito,1,,0.13,,,,Proto-Realm,Oceanara,,Chronos Isles,1.0,0.5,378,279,12,,TeroLumoPlanedoPlanedo,Lumejo-Novego,light — new/giant,,
378-279,Venteto-Novego,Planet,FC-P-TL-H-W,Solitary Star System,SteloOrbito,2,,1.95,,,,Terraclade,Ferrocore,Pioneera,,2.0,1.5,378,279,12,,VentoSunGalaksioPlanedo,Venteto-Novego,wind — new/giant,,
378-279,Stelejaro,Planet,LS-DS-ES-S,Solitary Star System,SteloOrbito,3,,2.47,,,,Lilliput Sphere,Aridane,Elysian Sphere,,3.0,2.5,378,279,12,,SteloWaterSistemoPlanedo,Stelejaro,star — domain cluster,,
378-279,Fajrideto-Nova,Planet,TL-NT-BH-H,Solitary Star System,SteloOrbito,4,,1.95,,,,Terraclade,Hydro-Realm,,,4.0,3.5,378,279,12,,FajroNoktoSistemoPlanedo,Fajrideto-Nova,fire — new/variant,,
378-279,Akvejo-Novego,Planet,LS-NS-PR-V,Solitary Star System,SteloOrbito,5,,2.47,,,,Proto-Realm,,Nihility,,5.0,4.5,378,279,12,,AkvoLumoPlanedoPlanedo,Akvejo-Novego,water — new/giant,,
378-279,Planedegujo,Planet,BH-H-FL-I,Solitary Star System,SteloOrbito,6,,0.13,,,,Cryo-Giant,Hydro-Realm,Pioneera,,6.0,5.5,378,279,12,,NoktoLightGalaksioPlanedo,Planedegujo,planet — giant world,,
378-279,Akvumo-Novego,Planet,T-CR-W-NS-C,Solitary Star System,SteloOrbito,7,,0.13,,,,,Carborane,,,7.0,6.5,378,279,12,,AkvoWaterOrbitoPlanedo,Akvumo-Novego,water — new/giant,,
